Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C0603,174.5,-92.25,180.0,top
C10,100n,C0603,165.2,-104.3,90.0,top
C11,2.2u,C0603,147.8,-93.0,0.0,top
C12,100n,C0603,143.5,-89.375,90.0,top
C13,100n,C0603,154.25,-78.375,90.0,top
C14,100n,C0603,165.5,-87.7,-90.0,top
C15,100n,C0603,144.75,-86.175,90.0,top
C16,100n,C0603,144.75,-89.475,90.0,top
C17,1u,C0603,152.8,-78.3,90.0,top
C18,1u,C0603,153.3,-95.0,0.0,top
C19,1u,C0603,164.0,-87.6,-90.0,top
C2,2.2u,C0603,172.6,-97.25,180.0,top
C20,10u,C0603,162.5,-87.6,-90.0,top
C21,6.8p,C0603,137.0,-93.05,90.0,top
C22,6.8p,C0603,137.0,-100.55,-90.0,top
C23,20p,C0603,137.3,-84.6,0.0,top
C24,20p,C0603,136.8,-90.5,180.0,top
C25,100n,C0603,155.32,-101.0,90.0,top
C26,100n,C0603,138.8,-71.5,0.0,top
C27,4.7u,C0603,138.8,-72.8,0.0,top
C28,22u,C0805,175.0,-74.5,0.0,top
C29,1u,C0603,168.0,-107.8,90.0,top
C3,22u,C0805,160.3,-94.75,-90.0,top
C30,1u,C0603,169.5,-81.16,90.0,top
C31,1u,C0603,175.5,-80.76,90.0,top
C32,1u,C0603,166.0,-75.2,90.0,top
C33,1u,C0603,160.0,-75.7,90.0,top
C34,100u,C1210,166.71,-64.9,0.0,top
C35,22u,C0805,162.3,-94.75,-90.0,top
C5,2.2u,C0603,177.5,-65.2,-90.0,top
C6,100n,C0603,172.5,-63.3,-90.0,top
C7,22u,C0805,175.0,-76.5,0.0,top
C8,1u,C0603,173.5,-107.2,90.0,top
C9,100n,C0603,162.5,-107.0,0.0,top
Card1,SDCard-TF-01A,TF-SMD_TF-01A,130.825,-65.5,-90.0,top
D1,RB088LAM-40TR,SOD-128_L3.7-W2.5-LS4.7-RD,171.0,-104.5,0.0,top
D2,RB088LAM-40TR,SOD-128_L3.7-W2.5-LS4.7-RD,166.45,-100.25,0.0,top
D3,LED,LED0603-FD,142.925,-101.5,0.0,top
D4,SMAJ18A_C148219,SMA_L4.4-W2.6-LS5.0-RD,182.0,-94.5,0.0,top
D5,LED,LED0603-FD,143.0,-105.5,0.0,top
F1,BSMD2920L-1000-16V,F2920,181.89,-89.5,0.0,top
FPC1,CAMERA,FPC-SMD_0510-GX-24PWB-GF-RB,126.75,-82.75,90.0,top
J1,FC-ESC,JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical,184.3125,-74.425,90.0,top
J2,MIC_1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,125.475,-107.0,90.0,top
J3,MIC_2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,125.5,-95.5,90.0,top
J4,SCREEN,JST_XH_B14B-XH-A_1x14_P2.50mm_Vertical,161.25,-116.0,180.0,top
J5,SERVO,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,137.0,-53.0,0.0,top
J6,SPEAKER,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,171.5,-52.975,0.0,top
J7,RC,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,183.5,-102.75,-90.0,top
L1,5.6u,IND-SMD_L7.0-W6.6_APH0630,167.8,-94.75,180.0,top
L2,6.8u,IND-SMD_L7.1-W6.6,175.0,-69.5,-90.0,top
L3,FCM1608KF-601T03,L0603,145.3,-81.0,180.0,top
Q1,DMG3415U,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1,176.0,-107.0,90.0,top
Q2,DMG3415U,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1,172.3,-100.25,180.0,top
R1,5.1k,R0603,132.75,-111.8435,0.0,top
